date,strategy_id,eur_value,usd_value,gbp_value,jpy_value,chf_value,aud_value,cad_value,nok_value,sek_value,cny_value,mxn_value,eur_pct_change,usd_pct_change,gbp_pct_change,jpy_pct_change,chf_pct_change,aud_pct_change,cad_pct_change,nok_pct_change,sek_pct_change,cny_pct_change,mxn_pct_change,avg_pct_change,value
2026-02-27,momentum-T6-size10,1100.1207082333,1297.8795611169,962.4347623472,202227.6063940302,1003.8989649985999,1824.1473099478,1774.6271362877,12400.6643978761,11753.7196362286,8902.992298668902,22317.426526866,0.013672357513961347,-0.17122947697962917,0.39447490974319105,-0.241304789058562,0.06558022992395025,-0.09747218032592987,-0.13462130541817616,-0.06099100263835693,0.22503455252588517,0.034032469576727044,-0.04227225493585597,-0.0013724081884359334,0.9998613167945367
2026-02-27,momentum-T6-size25,1099.8458175102999,1297.5552204351002,962.1942012898003,202177.0817728011,1003.6481559847,1823.6914015769003,1774.1835242046,12397.5661206278,11750.7830098533,8900.768050374,22311.8505628262,0.014381430981781447,-0.17052452452989428,0.39516890583738584,-0.24060364973632833,0.06627863758582282,-0.09677470351154037,-0.13393592225533635,-0.06028990518810312,0.22573837634662688,0.0347388461039152,-0.04156978572451488,-0.0006720267354713768,0.9997076748650715
2026-02-27,momentum-T6-size50,1099.546242156,1297.2017670349,961.93200983,202122.01912665402,1003.3748098282,1823.1944991576001,1773.7000173244999,12394.1895179765,11747.582600418298,8898.344068634698,22305.773765323098,0.019914529945409428,-0.16500384750825245,0.40069705519838894,-0.23509498305689497,0.07179638354083968,-0.09126403918186048,-0.12844282068177482,-0.054773267754953774,0.23127190845882092,0.04026746467374875,-0.03605009135057208,0.004847117480263558,0.9995845186437815
2026-02-28,momentum-T1-size5,1100.9450475297,1299.7414190254,963.5945343343,202828.29993786808,1000.0168755692,1825.2968241909,1773.4498599286,12361.5985620405,11737.794835816401,8913.8890520424,22381.4294666404,0.05517254954404647,0.12367875620319735,0.10073086706339454,0.27723767587484394,-0.4063675263675092,0.04325610514665179,-0.08607809064728998,-0.33471048007474136,-0.15520313502530111,0.10262877660224662,0.26698543047241907,-0.0011517337461856266,0.9999883440661799
2026-02-28,momentum-T1-size10,1100.9071874421,1299.6967030288,963.5614057958,202821.32548297913,999.9824805962,1825.2340916745004,1773.3888973186004,12361.1734853618,11737.391226710199,8913.5825394311,22380.659856949296,0.05341074034587129,0.12191453793622743,0.09896957352561753,0.2754715243558172,-0.40812400265127347,0.04149649958880643,-0.08783620669769253,-0.33646591860177477,-0.1569616655810564,0.10086583576421203,0.2652195735226949,-0.002912682590231853,0.9999619737748717
2026-02-28,momentum-T1-size25,1100.8010838281,1299.5713860341998,963.4685628764,202801.77948256594,999.8860882209999,1825.0582818943,1773.2180478708,12359.9822028058,11736.260106835802,8912.723533604698,22378.503015310296,0.04847771172196154,0.11697473492008983,0.09403804145395535,0.2705262712608451,-0.4130423186376802,0.036569534610179276,-0.09275902059425427,-0.3413811685110073,-0.1618855734143569,0.09592957570327902,0.2602751469113307,-0.007843369506877978,0.9998899046499751
2026-02-28,momentum-T1-size50,1100.6479770353,1299.3905556525,963.3345927450001,202773.57488370046,999.7469952393999,1824.8045877040001,1772.9715116799,12358.2632001747,11734.627916758402,8911.483999656199,22375.390722054697,0.041335351278843684,0.10982246863369084,0.08689800277066866,0.26336600068301336,-0.4201640617510608,0.02943557522539102,-0.09988702829318867,-0.3484979746133322,-0.16901491495243823,0.0887823333021011,0.2531160755948221,-0.014982561101953562,0.9997911143822497
2026-02-28,momentum-T2-size5,1100.901220544,1299.6896647541,963.5561765284001,202820.22551280272,999.9770596838,1825.2241835842,1773.3792759902,12361.1064500105,11737.327568207002,8913.534196985198,22380.5384829816,0.053350540174159036,0.12185494946269214,0.09890856542409641,0.2754112014979536,-0.40818289586547674,0.041435631302361914,-0.08789649133956308,-0.3365258632224245,-0.1570217606888441,0.10080555217250545,0.2651592447698639,-0.0029728478466069016,0.9999540166876376
2026-02-28,momentum-T2-size10,1100.8221608959998,1299.5962974643,963.4869894394,202805.660655157,999.9052356760999,1825.0931642994,1773.2519602479003,12360.218761248,11736.4847018584,8912.8941010737,22378.9312999644,0.04986403826718901,0.11836436953182251,0.0954222614059701,0.27191613388674113,-0.41165772944386286,0.0379527347848735,-0.09137591639878975,-0.33999971803949636,-0.16050177708452934,0.09731676767782729,0.2616647433519945,-0.006457644732750941,0.9998956828466748
2026-02-28,momentum-T2-size25,1100.6074446611,1299.3427247263,963.2990852691001,202766.10417894676,999.710170028,1824.7373279395001,1772.9061831546,12357.807901958602,11734.195573920699,8911.1556737295,22374.5663764186,0.04029004977167242,0.10877929267406028,0.0858486784620758,0.2623185769348395,-0.4211996650139358,0.028388291257990184,-0.10093076814892592,-0.3495390126544251,-0.1700579898776722,0.0877364487296764,0.25206873385888723,-0.016027033091432476,0.9997402396134271
